exp,emp_title,compensation,perc_remote,co_size,co_location,year,emp_location,emp_ID
SE,Principal Data Scientist,85847,100.0,L,Spain,2023,"(40.463667, -3.74922)",71771
SE,Data Scientist,175000,100.0,M,Canada,2023,"(56.130366, -106.346771)",63218
SE,Data Scientist,120000,100.0,M,Canada,2023,"(56.130366, -106.346771)",49089
SE,Applied Scientist,222200,0.0,L,United States,2023,"(37.09024, -95.712891)",77867
SE,Applied Scientist,136000,0.0,L,United States,2023,"(37.09024, -95.712891)",84425
SE,Data Scientist,219000,0.0,M,Canada,2023,"(56.130366, -106.346771)",44180
SE,Data Scientist,141000,0.0,M,Canada,2023,"(56.130366, -106.346771)",16382
SE,Data Scientist,147100,0.0,M,United States,2023,"(37.09024, -95.712891)",82076
SE,Data Scientist,90700,0.0,M,United States,2023,"(37.09024, -95.712891)",80049
SE,Data Analyst,130000,100.0,M,United States,2023,"(37.09024, -95.712891)",70886
SE,Data Analyst,100000,100.0,M,United States,2023,"(37.09024, -95.712891)",24923
EN,Applied Scientist,213660,0.0,L,United States,2023,"(37.09024, -95.712891)",44746
EN,Applied Scientist,130760,0.0,L,United States,2023,"(37.09024, -95.712891)",13105
SE,Data Modeler,147100,0.0,M,United States,2023,"(37.09024, -95.712891)",37848
SE,Data Modeler,90700,0.0,M,United States,2023,"(37.09024, -95.712891)",34057
SE,Data Scientist,170000,0.0,M,United States,2023,"(37.09024, -95.712891)",44649
SE,Data Scientist,150000,,M,United States,2023,"(37.09024, -95.712891)",56150
MI,Data Analyst,150000,100.0,M,United States,2023,"(37.09024, -95.712891)",73725
MI,Data Analyst,110000,100.0,M,United States,2023,"(37.09024, -95.712891)",69234
SE,Research Engineer,275000,0.0,M,Germany,2023,"(51.165691, 10.451526)",63295
SE,Research Engineer,174000,0.0,M,Germany,2023,"(51.165691, 10.451526)",84159
SE,Analytics Engineer,230000,100.0,M,United Kingdom,2023,"(55.378051, -3.435973)",98685
SE,Analytics Engineer,143200,100.0,M,United Kingdom,2023,"(55.378051, -3.435973)",27532
SE,Business Intelligence Engineer,225000,0.0,M,United States,2023,"(37.09024, -95.712891)",73308
SE,Business Intelligence Engineer,156400,0.0,M,United States,2023,"(37.09024, -95.712891)",67576
SE,Machine Learning Engineer,200000,0.0,M,United States,2023,"(37.09024, -95.712891)",62546
SE,Machine Learning Engineer,130000,0.0,M,United States,2023,"(37.09024, -95.712891)",15556
SE,Data Strategist,90000,0.0,M,Canada,2023,"(56.130366, -106.346771)",89138
SE,Data Strategist,72000,0.0,M,Canada,2023,"(56.130366, -106.346771)",69570
SE,Data Engineer,253200,0.0,M,United States,2023,"(37.09024, -95.712891)",10041
SE,Data Engineer,90700,0.0,M,United States,2023,"(37.09024, -95.712891)",22967
SE,Computer Vision Engineer,342810,0.0,M,United States,2023,"(37.09024, -95.712891)",94168
SE,Computer Vision Engineer,184590,0.0,M,United States,2023,"(37.09024, -95.712891)",23858
MI,Data Engineer,162500,0.0,M,United States,2023,"(37.09024, -95.712891)",52038
MI,Data Engineer,130000,0.0,M,United States,2023,"(37.09024, -95.712891)",32856
